x,y,C_pct_1m
432326.313,6058495.5,1.06071951
432386.313,6058525.5,1.06078716
428936.313,6058105.5,1.06109824
428996.313,6058105.5,1.06112896
428936.313,6058075.5,1.06113647
428906.313,6058075.5,1.06118184
428906.313,6058105.5,1.06118409
428816.313,6058375.5,1.06122687
428966.313,6058105.5,1.06125543
429056.313,6058435.5,1.06138506
431576.313,6057505.5,1.06212543
429086.313,6058375.5,1.06212869
431546.313,6057475.5,1.06221071
431546.313,6057535.5,1.06221932
431516.313,6057475.5,1.0622194
431576.313,6057475.5,1.06224167
431576.313,6057535.5,1.06225128
431516.313,6057505.5,1.06226415
431546.313,6057505.5,1.06229613
431516.313,6057535.5,1.06230882
428876.313,6058375.5,1.06255986
428996.313,6058135.5,1.06269466
428936.313,6058135.5,1.0627044
428996.313,6058075.5,1.06270667
428906.313,6058135.5,1.06274968
428966.313,6058135.5,1.0627806
428846.313,6058405.5,1.06292973
429086.313,6058435.5,1.06314541
431486.313,6057505.5,1.06606357
431456.313,6057475.5,1.06610837
431456.313,6057535.5,1.06611662
431426.313,6057475.5,1.06611682
431426.313,6057535.5,1.06612508
431486.313,6057475.5,1.06614039
431486.313,6057535.5,1.06614868
431456.313,6057505.5,1.06615306
431426.313,6057505.5,1.0661615
431036.313,6058015.5,1.0670774
431066.313,6058075.5,1.06708489
429056.313,6058375.5,1.06788299
431516.313,6057595.5,1.0681958
428696.313,6057625.5,1.06949519
429026.313,6058405.5,1.07039476
428846.313,6058435.5,1.07149675
428786.313,6057505.5,1.07245923
423236.313,6057355.5,1.07280956
431546.313,6057745.5,1.07300441
431576.313,6057625.5,1.07300571
428876.313,6058405.5,1.07300723
428756.313,6057535.5,1.07336968
431546.313,6057625.5,1.07341477
431576.313,6057595.5,1.07344879
431546.313,6057595.5,1.07345608
431516.313,6057565.5,1.07346144
431576.313,6057565.5,1.07348557
431546.313,6057565.5,1.0734939
428816.313,6058435.5,1.0736708
431486.313,6057595.5,1.07376651
431456.313,6057565.5,1.0737762
431486.313,6057565.5,1.07380815
431426.313,6057565.5,1.07382554
431456.313,6057595.5,1.07393777
428636.313,6057625.5,1.07570057
428876.313,6058435.5,1.07603913
422726.313,6058315.5,1.07641176
428756.313,6057475.5,1.07740679
429026.313,6058435.5,1.07768061
431096.313,6058105.5,1.07794639
428756.313,6057505.5,1.07798209
422726.313,6058255.5,1.07804145
428726.313,6057565.5,1.07978421
422726.313,6058285.5,1.07979514
428726.313,6057595.5,1.08130363
432116.313,6058435.5,1.08198851
429146.313,6058345.5,1.08211267
431546.313,6057415.5,1.08250075
428606.313,6057595.5,1.08298472
431576.313,6057385.5,1.08318326
431546.313,6057385.5,1.08322347
431546.313,6057445.5,1.08323612
425336.313,6055675.5,1.08324265
431516.313,6057445.5,1.08324554
431516.313,6057385.5,1.08327712
431516.313,6057415.5,1.0832816
428786.313,6057625.5,1.08367315
428756.313,6057625.5,1.08383919
425396.313,6055525.5,1.08393546
428786.313,6057595.5,1.08394976
432416.313,6058585.5,1.08449661
431576.313,6057415.5,1.08462551
432446.313,6058555.5,1.08468582
432476.313,6058555.5,1.08471734
432476.313,6058585.5,1.08472178
428756.313,6057565.5,1.0847489
431576.313,6057445.5,1.08476282
432416.313,6058555.5,1.08477581
