x,y,C_pct_1m
234136.938,6512877.5,1.116663
233986.938,6513147.5,1.116765
234166.938,6512877.5,1.116819
234196.938,6512907.5,1.116974
234316.938,6513357.5,1.117045
233896.938,6512937.5,1.117095
234316.938,6513687.5,1.117097
240316.938,6511767.5,1.117291
234556.938,6512877.5,1.117306
234136.938,6512847.5,1.117344
234166.938,6512847.5,1.117481
234136.938,6512817.5,1.117591
234226.938,6513057.5,1.117603
234166.938,6512817.5,1.117657
234196.938,6512817.5,1.117683
234556.938,6512907.5,1.117765
240106.938,6512907.5,1.117837
234076.938,6513207.5,1.117898
234196.938,6513117.5,1.118031
234856.938,6513447.5,1.118088
234376.938,6513417.5,1.118284
238816.938,6512097.5,1.118326
239056.938,6510597.5,1.11834
235726.938,6512997.5,1.118354
234016.938,6512877.5,1.118373
240046.938,6512997.5,1.118381
234256.938,6513267.5,1.118865
234196.938,6512847.5,1.118946
233986.938,6512877.5,1.119075
234256.938,6513147.5,1.119104
235666.938,6512787.5,1.119258
234436.938,6513537.5,1.119332
239056.938,6512097.5,1.119445
234286.938,6513597.5,1.119617
235216.938,6513057.5,1.11982
234256.938,6513357.5,1.119885
235726.938,6512757.5,1.120225
238816.938,6512157.5,1.120245
235696.938,6512547.5,1.120287
234916.938,6513657.5,1.12029
233986.938,6512907.5,1.120388
234256.938,6513027.5,1.120411
235666.938,6512997.5,1.120507
234466.938,6512817.5,1.120582
238936.938,6509907.5,1.120634
234856.938,6513477.5,1.12121
235726.938,6512727.5,1.1213
234256.938,6513117.5,1.121322
239176.938,6510867.5,1.121514
238846.938,6510597.5,1.122005
235666.938,6512967.5,1.122347
234016.938,6512907.5,1.12245
234586.938,6512907.5,1.122589
233956.938,6512907.5,1.122712
235216.938,6513027.5,1.122741
234586.938,6512817.5,1.122798
235846.938,6512427.5,1.122988
234196.938,6512967.5,1.123441
234796.938,6513657.5,1.12348
235726.938,6512847.5,1.123882
234076.938,6513237.5,1.12394
234886.938,6513657.5,1.12409
234346.938,6513357.5,1.124224
234766.938,6513627.5,1.124227
234376.938,6513357.5,1.124389
233986.938,6513177.5,1.124407
238996.938,6510627.5,1.124622
234166.938,6512937.5,1.12466
235366.938,6511917.5,1.124783
235696.938,6512817.5,1.125049
234466.938,6513507.5,1.125685
239026.938,6512097.5,1.126603
239146.938,6510747.5,1.126646
234196.938,6512937.5,1.126818
238846.938,6512187.5,1.126892
238996.938,6510507.5,1.127045
234586.938,6512877.5,1.127154
233956.938,6512877.5,1.127287
233866.938,6512937.5,1.127388
238816.938,6512187.5,1.127446
233956.938,6513057.5,1.127582
235906.938,6512577.5,1.127621
235786.938,6512517.5,1.127693
238816.938,6512247.5,1.127968
234106.938,6513207.5,1.12799
238816.938,6512217.5,1.128145
238876.938,6512217.5,1.12816
238846.938,6512217.5,1.128297
234916.938,6513627.5,1.12837
238996.938,6512037.5,1.128424
239026.938,6512037.5,1.128501
238846.938,6512247.5,1.128628
239116.938,6510717.5,1.12877
234406.938,6513357.5,1.128832
234316.938,6513177.5,1.128995
234496.938,6512877.5,1.129222
239776.938,6510927.5,1.129284
238846.938,6512157.5,1.129564
239026.938,6510627.5,1.129566
234436.938,6513297.5,1.129629
235216.938,6512967.5,1.129653
235816.938,6512547.5,1.129731
238876.938,6512247.5,1.129897
235426.938,6513117.5,1.130127
235666.938,6513087.5,1.130405
234526.938,6512907.5,1.130583
239056.938,6510657.5,1.130696
238996.938,6512127.5,1.130788
234256.938,6513327.5,1.130797
233956.938,6513147.5,1.130817
240226.938,6511797.5,1.131075
234436.938,6513417.5,1.131782
234226.938,6513087.5,1.131988
238906.938,6510597.5,1.132104
234526.938,6512727.5,1.132318
235696.938,6512667.5,1.132612
238816.938,6510657.5,1.132613
234826.938,6513447.5,1.132636
235546.938,6513477.5,1.13276
234706.938,6513387.5,1.13282
