X,Y,C_pct_1m
741409.558,6436313.25,0.8063045
741439.558,6436373.25,0.80856933
742699.558,6437093.25,0.80932105
742669.558,6437153.25,0.81171802
741379.558,6436373.25,0.8141696
742969.558,6437303.25,0.81495309
741469.558,6436343.25,0.81626921
742969.558,6437363.25,0.81754251
742909.558,6437423.25,0.81788665
742939.558,6437393.25,0.81974679
741499.558,6436343.25,0.81977013
742639.558,6437153.25,0.81998653
742789.558,6437123.25,0.82034413
742729.558,6437063.25,0.82337966
741439.558,6436253.25,0.82494535
741409.558,6436403.25,0.82658841
741379.558,6436403.25,0.82786834
742969.558,6437393.25,0.8314743
742729.558,6437123.25,0.83239277
742729.558,6437093.25,0.83325593
742759.558,6437093.25,0.83590097
742699.558,6437063.25,0.83748622
741409.558,6436193.25,0.83885976
741439.558,6436223.25,0.83962215
742939.558,6437453.25,0.8408705
742789.558,6437093.25,0.84250789
741529.558,6436343.25,0.84472691
741379.558,6436313.25,0.84474591
741409.558,6436283.25,0.84560792
742159.558,6439493.25,0.84711096
742909.558,6437393.25,0.84821818
742939.558,6437423.25,0.84880225
742969.558,6437333.25,0.84977266
742639.558,6437243.25,0.85035872
741409.558,6436223.25,0.85121965
741379.558,6436433.25,0.85146872
742669.558,6437183.25,0.85192826
741499.558,6436313.25,0.85300073
742699.558,6437123.25,0.85372241
742969.558,6437453.25,0.85502186
741439.558,6436193.25,0.85638822
741439.558,6436403.25,0.85688901
742609.558,6437243.25,0.85772422
741409.558,6436253.25,0.8602801
741379.558,6436193.25,0.86039343
742639.558,6437183.25,0.86050343
742669.558,6437213.25,0.86128716
742759.558,6437063.25,0.86161927
742969.558,6437423.25,0.86167974
742609.558,6437393.25,0.86294508
742699.558,6437393.25,0.86369918
742159.558,6439463.25,0.86504515
742669.558,6437393.25,0.86561129
742639.558,6437393.25,0.8664742
742789.558,6437063.25,0.86961656
742699.558,6437423.25,0.8703226
742669.558,6437423.25,0.87089629
742639.558,6437423.25,0.87108162
742699.558,6437453.25,0.87245683
742669.558,6437453.25,0.87265319
742639.558,6437453.25,0.87289107
742699.558,6437483.25,0.87343667
742669.558,6437483.25,0.87359636
742639.558,6437483.25,0.87360104
741409.558,6436433.25,0.87419467
742909.558,6437453.25,0.87540635
742759.558,6437123.25,0.87595733
741469.558,6436283.25,0.87663127
742159.558,6439523.25,0.87717238
742609.558,6437213.25,0.88215665
742069.558,6439643.25,0.88405757
742669.558,6437243.25,0.88419908
742039.558,6439583.25,0.88498343
742159.558,6439433.25,0.88541469
742699.558,6437243.25,0.88611693
741379.558,6436613.25,0.88654031
742159.558,6439553.25,0.8867982
742099.558,6439583.25,0.88794441
742069.558,6439613.25,0.88888974
741439.558,6436703.25,0.88941692
742039.558,6439613.25,0.89027124
742159.558,6439583.25,0.89108439
741529.558,6436373.25,0.8914783
741469.558,6436373.25,0.89280664
742039.558,6439673.25,0.89355369
742039.558,6439643.25,0.89420844
742099.558,6439643.25,0.89535792
741529.558,6436313.25,0.89555524
742609.558,6437183.25,0.89639638
741529.558,6436433.25,0.89667161
741499.558,6436373.25,0.89672989
742069.558,6439673.25,0.89680732
742159.558,6439403.25,0.89697262
742009.558,6439613.25,0.89752486
741409.558,6436463.25,0.89824567
742789.558,6437543.25,0.8983272
742009.558,6439673.25,0.89851816
742759.558,6437543.25,0.89864318
742789.558,6437573.25,0.89867736
742729.558,6437543.25,0.89885874
742759.558,6437573.25,0.8988876
742729.558,6437573.25,0.89889267
741379.558,6436583.25,0.89933142
742009.558,6439583.25,0.89936722
742099.558,6439553.25,0.89961148
741379.558,6436673.25,0.89991344
742009.558,6439643.25,0.9018674
741379.558,6436463.25,0.90193565
741409.558,6436673.25,0.90203619
741409.558,6436703.25,0.90220221
742009.558,6439703.25,0.90226488
741439.558,6436433.25,0.902896
741379.558,6436283.25,0.90397339
741559.558,6436433.25,0.90530778
741529.558,6436463.25,0.90616047
742069.558,6439703.25,0.90622114
